title,document_url,company_url,page_number
Longhorn Publishers Plc (LKL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-lkl-2025-ar-00/,https://africanfinancials.com/company/ke-lkl/,1
Eaagads Limited (EGAD.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-egad-2025-ar-00/,https://africanfinancials.com/company/ke-egad/,1
Carbacid Investments Plc (CARB.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-carb-2025-ar-00/,https://africanfinancials.com/company/ke-carb/,1
Centum Investment Company Plc (CTUM.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-ctum-2025-ar-00/,https://africanfinancials.com/company/ke-ctum/,1
Olympia Capital Holdings Limited (OCH.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-och-2025-ar-00/,https://africanfinancials.com/company/ke-och/,1
East African Breweries PLC (EABL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-eabl-2025-ar-00/,https://africanfinancials.com/company/ke-eabl/,1
Williamson Tea Kenya Limited (WTK.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-wtk-2025-ar-00/,https://africanfinancials.com/company/ke-wtk/,1
Kapchorua Tea Company Plc (KAPC.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kapc-2025-ar-00/,https://africanfinancials.com/company/ke-kapc/,1
Safaricom PLC (SCOM.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-scom-2025-ar-00/,https://africanfinancials.com/company/ke-scom/,1
KenGen Limited (KEGN.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kegn-2025-ar-00/,https://africanfinancials.com/company/ke-kegn/,2
Longhorn Publishers Plc (LKL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-lkl-2025-ar-00/,https://africanfinancials.com/company/ke-lkl/,2
Eaagads Limited (EGAD.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-egad-2025-ar-00/,https://africanfinancials.com/company/ke-egad/,2
Carbacid Investments Plc (CARB.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-carb-2025-ar-00/,https://africanfinancials.com/company/ke-carb/,2
Kenya Airways Limited (KQ.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kq-2024-ar-00/,https://africanfinancials.com/company/ke-kq/,3
TotalEnergies Marketing Kenya Plc (TOTL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-totl-2024-ar-00/,https://africanfinancials.com/document/ke-totl-2024-ar-00/,3
Express Limited (XPRS.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-xprs-2024-ar-00/,https://africanfinancials.com/company/ke-xprs/,3
Kenya Re-Insurance Corporation Limited (KNRE.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-knre-2024-ar-00/,https://africanfinancials.com/company/ke-knre/,3
HF Group Limited (HFCK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-hfck-2024-ar-00/,https://africanfinancials.com/company/ke-hfck/,3
British American Tobacco Kenya Limited (BAT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bat-2024-ar-00/,https://africanfinancials.com/company/ke-bat/,3
I&M Group Plc (IMH.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-imh-2024-ar-00/,https://africanfinancials.com/company/ke-imh/,3
BK Group Plc (BKG.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bkg-2024-ar-00/,https://africanfinancials.com/company/ke-bkg/,3
Jubilee Holdings Limited (JUB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-jub-2024-ar-00/,https://africanfinancials.com/company/ke-jub/,3
Car & General Limited (CGEN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cgen-2024-ar-00-2/,https://africanfinancials.com/company/ke-cgen/,3
Car & General Limited (CGEN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cgen-2024-ar-00/,https://africanfinancials.com/company/ke-cgen/,3
East Africa Cables Plc(CABL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cabl-2024-ar-00/,https://africanfinancials.com/company/ke-cabl/,3
Standard Chartered Bank Limited (SCBK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-scbk-2024-ar-00/,https://africanfinancials.com/company/ke-scbk/,5
Nairobi Business Venture Limited (NBV.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-nbv-2024-ar-00/,https://africanfinancials.com/company/ke-nbv/,5
Stanbic Holdings Plc (SBIC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-sbic-2024-ar-00/,https://africanfinancials.com/company/ke-sbic/,5
E.A Portland Cement Company Limited (PORT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-port-2024-ar-00/,https://africanfinancials.com/company/ke-port/,5
Sasini Limited (SASN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-sasn-2024-ar-00/,https://africanfinancials.com/company/ke-sasn/,5
Uchumi Supermarkets Limited (UCHM.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-uchm-2024-ar-00/,https://africanfinancials.com/company/ke-uchm/,5
The Kenya Power & Lighting Company Plc (KPLC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kplc-2024-ar-00/,https://africanfinancials.com/company/ke-kplc/,5
Unga Group Limited (UNGA.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-unga-2024-ar-00/,https://africanfinancials.com/company/ke-unga/,5
KenGen Limited (KEGN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kegn-2024-ar-00/,https://africanfinancials.com/company/ke-kegn/,5
Carbacid Investments Plc (CARB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-carb-2024-ar-00/,https://africanfinancials.com/company/ke-carb/,5
Longhorn Publishers Plc (LKL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-lkl-2024-ar-00/,https://africanfinancials.com/company/ke-lkl/,5
East African Breweries PLC (EABL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-eabl-2024-ar-00/,https://africanfinancials.com/company/ke-eabl/,5
Olympia Capital Holdings Limited (OCH.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-och-2025-ar-00/,https://africanfinancials.com/company/ke-och/,6
Kenya Re-Insurance Corporation Limited (KNRE.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-knre-2023-ar-00/,https://africanfinancials.com/company/ke-knre/,7
Britam Holdings Limited (BRIT.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-brit-2023-ar-00/,https://africanfinancials.com/company/ke-brit/,7
Bamburi Cement Limited (BAMB.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-bamb-2023-ar-00/,https://africanfinancials.com/company/ke-bamb/,7
Jubilee Holdings Limited (JUB.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-jub-2023-ar-00/,https://africanfinancials.com/company/ke-jub/,7
Kenya Airways Limited (KQ.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-kq-2023-ar-00/,https://africanfinancials.com/company/ke-kq/,7
Sanlam Kenya Plc (SLAM.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-slam-2023-ar-00/,https://africanfinancials.com/company/ke-slam/,7
Nation Media Group Limited (NMG.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-nmg-2023-ar-00/,https://africanfinancials.com/company/ke-nmg/,7
TotalEnergies Marketing Kenya Plc (TOTL.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-totl-2023-ar-00/,https://africanfinancials.com/document/ke-totl-2023-ar-00/,7
Crown Paints Kenya (CRWN.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-crwn-2023-ar-00/,https://africanfinancials.com/company/ke-crwn/,7
Eveready East Africa Limited (EVRD.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-evrd-2023-ar-00/,https://africanfinancials.com/company/ke-evrd/,7
Sameer Africa Limited (SAMEER.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-sameer-2023-ar-00/,https://africanfinancials.com/company/ke-sameer/,7
I&M Group Plc (IMH.ke) 2023 Annual Report,https://africanfinancials.com/document/ke-imh-2023-ar-00/,https://africanfinancials.com/company/ke-imh/,7
Sanlam Kenya Plc (SLAM.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-slam-2024-ar-00/,https://africanfinancials.com/company/ke-slam/,8
Equity Bank Limited (EQTY.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-eqty-2024-ar-00/,https://africanfinancials.com/company/ke-eqty/,8
Umeme Limited (UMME.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-umme-2024-ar-00/,https://africanfinancials.com/company/ke-umme/,8
Bamburi Cement Limited (BAMB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bamb-2024-ar-00/,https://africanfinancials.com/company/ke-bamb/,8
Limuru Tea PLC (LIMT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-limt-2024-ar-00/,https://africanfinancials.com/company/ke-limt/,8
Nation Media Group Limited (NMG.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-nmg-2024-ar-00/,https://africanfinancials.com/company/ke-nmg/,8
Britam Holdings Limited (BRIT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-brit-2024-ar-00/,https://africanfinancials.com/company/ke-brit/,8
