title,document_url,company_url,page_number
Centum Investment Company Plc (CTUM.ke) HY2026 Interim Report,https://africanfinancials.com/document/ke-ctum-2026-ir-hy/,https://africanfinancials.com/company/ke-ctum/,1
Nairobi Business Venture Limited (NBV.ke) HY2026 Interim Report,https://africanfinancials.com/document/ke-nbv-2026-ir-hy/,https://africanfinancials.com/company/ke-nbv/,1
Williamson Tea Kenya Limited (WTK.ke) HY2026 Interim Report,https://africanfinancials.com/document/ke-wtk-2026-ir-hy/,https://africanfinancials.com/company/ke-wtk/,1
Kapchorua Tea Company Plc (KAPC.ke) HY2026 Interim Report,https://africanfinancials.com/document/ke-kapc-2026-ir-hy/,https://africanfinancials.com/company/ke-kapc/,1
UNGA Group PLC (UNGA.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-unga-2025-ar-00/,https://africanfinancials.com/company/ke-unga/,1
The Kenya Power & Lighting Company Plc (KPLC.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kplc-2025-ar-00/,https://africanfinancials.com/company/ke-kplc/,1
NCBA Group PLC (NCBA.ke) Q32025 Interim Report,https://africanfinancials.com/document/ke-ncba-2025-ir-q3/,https://africanfinancials.com/company/ke-ncba/,1
Diamond Trust Bank of Kenya Limited (DTK.ke) Q32025 Interim Report,https://africanfinancials.com/document/ke-dtk-2025-ir-q3/,https://africanfinancials.com/company/ke-dtk/,1
KCB Group Plc (KCB.ke) Q32025 Interim Report,https://africanfinancials.com/document/ke-kcb-2025-ir-q3/,https://africanfinancials.com/company/ke-kcb/,1
I&M Group Plc (IMH.ke) Q32025 Interim Report,https://africanfinancials.com/document/ke-imh-2025-ir-q3/,https://africanfinancials.com/company/ke-imh/,1
Absa Bank Kenya Plc (ABSA.ke) Q32025 Interim Report,https://africanfinancials.com/document/ke-absa-2025-ir-q3/,https://africanfinancials.com/company/ke-absa/,1
The Co-operative Bank of Kenya Limited (COOP.ke) Q32025 Interim Report,https://africanfinancials.com/document/ke-coop-2025-ir-q3/,https://africanfinancials.com/company/ke-coop/,1
Centum Investment Company Plc (CTUM.ke) 2025 Abridged Report,https://africanfinancials.com/document/ke-ctum-2025-ab-00/,https://africanfinancials.com/company/ke-ctum/,2
KenGen Limited (KEGN.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kegn-2025-ar-00/,https://africanfinancials.com/company/ke-kegn/,2
Longhorn Publishers Plc (LKL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-lkl-2025-ar-00/,https://africanfinancials.com/company/ke-lkl/,2
Eaagads Limited (EGAD.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-egad-2025-ar-00/,https://africanfinancials.com/company/ke-egad/,2
UNGA Group PLC (UNGA.ke) 2025 Abridged Report,https://africanfinancials.com/document/ke-unga-2025-ab-00/,https://africanfinancials.com/company/ke-unga/,2
