title,document_url,company_url,page_number,direct_download_url
UNGA Group PLC (UNGA.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-unga-2025-ar-00/,https://africanfinancials.com/company/ke-unga/,1,
The Kenya Power & Lighting Company Plc (KPLC.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kplc-2025-ar-00/,https://africanfinancials.com/company/ke-kplc/,1,
KenGen Limited (KEGN.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kegn-2025-ar-00/,https://africanfinancials.com/company/ke-kegn/,2,https://drive.google.com/uc?export=download&id=1r-UQ_saLPgdcduj-IUbPV1zQJKQxgNmp
Longhorn Publishers Plc (LKL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-lkl-2025-ar-00/,https://africanfinancials.com/company/ke-lkl/,2,https://drive.google.com/uc?export=download&id=10DJs3euIqF13b2SBBA017ZS7iQG7KiMH
Eaagads Limited (EGAD.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-egad-2025-ar-00/,https://africanfinancials.com/company/ke-egad/,2,https://drive.google.com/uc?export=download&id=1ATOuqDDJH7EG8zUeGJ23W0k-FZVw3IRG
Carbacid Investments Plc (CARB.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-carb-2025-ar-00/,https://africanfinancials.com/company/ke-carb/,2,https://drive.google.com/uc?export=download&id=1_h4_87ocTWOjJv6RDs60uacXWWXE64-i
Centum Investment Company Plc (CTUM.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-ctum-2025-ar-00/,https://africanfinancials.com/company/ke-ctum/,3,https://drive.google.com/uc?export=download&id=1AA6BoiN_IJh9yB1IS83F7rUi_Ae6RE-q
Olympia Capital Holdings Limited (OCH.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-och-2025-ar-00/,https://africanfinancials.com/company/ke-och/,6,https://drive.google.com/uc?export=download&id=1h03Esl6fnch11vvKPdAA44IPAFSJSKEg
East African Breweries PLC (EABL.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-eabl-2025-ar-00/,https://africanfinancials.com/company/ke-eabl/,7,https://drive.google.com/uc?export=download&id=1mZosPJ-ESFE0lzem-m4ZKvEYetXDXO6Y
Williamson Tea Kenya Limited (WTK.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-wtk-2025-ar-00/,https://africanfinancials.com/company/ke-wtk/,7,https://drive.google.com/uc?export=download&id=1316k5XfCJ8w5Msjq43tVH6G9b7PXvvUf
Kapchorua Tea Company Plc (KAPC.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-kapc-2025-ar-00/,https://africanfinancials.com/company/ke-kapc/,7,https://drive.google.com/uc?export=download&id=1d2kkbhjmD_A40rjb6HSHlYMQ_MQSRoNW
Safaricom PLC (SCOM.ke) 2025 Annual Report,https://africanfinancials.com/document/ke-scom-2025-ar-00/,https://africanfinancials.com/company/ke-scom/,7,https://drive.google.com/uc?export=download&id=1hYsI-6jD4LTtowRyqdnONjBrCYkIckmD
BOC Kenya Limited (BOC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-boc-2024-ar-00/,https://africanfinancials.com/company/ke-boc/,7,https://drive.google.com/uc?export=download&id=1g898RcRcpHIsCpLOewCRbjZmItmnO8rk
Standard Group Limited (SGL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-sgl-2024-ar-00/,https://africanfinancials.com/company/ke-sgl/,7,https://drive.google.com/uc?export=download&id=1WTtPFEy9AN3Yx4EFQaCdfbiojvJ_Fowb
TPS Eastern Africa (Serena) Limited (TPSE.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-tpse-2024-ar-00/,https://africanfinancials.com/company/ke-tpse/,7,https://drive.google.com/uc?export=download&id=1KOO_xa3n5Kwqaig8NzmecgjwSIdH78uA
Sanlam Kenya Plc (SLAM.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-slam-2024-ar-00/,https://africanfinancials.com/company/ke-slam/,8,https://drive.google.com/uc?export=download&id=1cnoYywnNh0pAiUKp_PBsqNKlRvkV-CoP
Equity Bank Limited (EQTY.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-eqty-2024-ar-00/,https://africanfinancials.com/company/ke-eqty/,8,https://drive.google.com/uc?export=download&id=1uyjiLe4TySf1US3gLYDATKELpKQKcUvi
Umeme Limited (UMME.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-umme-2024-ar-00/,https://africanfinancials.com/company/ke-umme/,8,https://drive.google.com/uc?export=download&id=1JaQDZa0Zv3VkgZ7Ktkh3trEMNu0aHZCb
Bamburi Cement Limited (BAMB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bamb-2024-ar-00/,https://africanfinancials.com/company/ke-bamb/,8,https://drive.google.com/uc?export=download&id=11v4QE2WTQmWxKxas1Y6o5PlYzjx8McM0
Limuru Tea PLC (LIMT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-limt-2024-ar-00/,https://africanfinancials.com/company/ke-limt/,8,https://drive.google.com/uc?export=download&id=1Pb-wiVm8oTrTKLP3puyEwLP9YYBF_x15
Nation Media Group Limited (NMG.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-nmg-2024-ar-00/,https://africanfinancials.com/company/ke-nmg/,8,https://drive.google.com/uc?export=download&id=1aoABXUVfHeba8qB8tEqSK7LaF_sxIYyJ
Britam Holdings Limited (BRIT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-brit-2024-ar-00/,https://africanfinancials.com/company/ke-brit/,8,https://drive.google.com/uc?export=download&id=1zmJCtMDpAnGV5j1CnkbGMoEN3v24foFF
Crown Paints Kenya (CRWN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-crwn-2024-ar-00/,https://africanfinancials.com/company/ke-crwn/,8,https://drive.google.com/uc?export=download&id=1MHKlcEBY-sjqy-1aiaRQxz8L9zx6kpNE
Flame Tree Group Holdings Limited (FTGH.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-ftgh-2024-ar-00/,https://africanfinancials.com/company/ke-ftgh/,8,https://drive.google.com/uc?export=download&id=1uDHw2knfX9LuxFX6jBFRnuynud9U15VI
Kenya Airways Limited (KQ.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kq-2024-ar-00/,https://africanfinancials.com/company/ke-kq/,8,https://drive.google.com/uc?export=download&id=1-74eHkUQqztZMQSThRATcjBcjw-fFupk
TotalEnergies Marketing Kenya Plc (TOTL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-totl-2024-ar-00/,https://africanfinancials.com/document/ke-totl-2024-ar-00/,9,https://drive.google.com/uc?export=download&id=1kgoZBnC3CeeeO5XsxWhukO4oheC9yQBO
Express Limited (XPRS.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-xprs-2024-ar-00/,https://africanfinancials.com/company/ke-xprs/,9,https://drive.google.com/uc?export=download&id=1tODM6FyJEPH1VBIE561iO896I9yeErUk
Kenya Re-Insurance Corporation Limited (KNRE.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-knre-2024-ar-00/,https://africanfinancials.com/company/ke-knre/,9,https://drive.google.com/uc?export=download&id=1vsZ-rG-oxBHRbEouxqe7-7e_yTxPa6ts
HF Group Limited (HFCK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-hfck-2024-ar-00/,https://africanfinancials.com/company/ke-hfck/,10,https://drive.google.com/uc?export=download&id=1gi8EUHVSj6m6opG-K-Oh_7gvMBCcwyYI
British American Tobacco Kenya Limited (BAT.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bat-2024-ar-00/,https://africanfinancials.com/company/ke-bat/,10,https://drive.google.com/uc?export=download&id=1zgB96SS58REi8-twPY6DJa3wZRCVT20V
I&M Group Plc (IMH.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-imh-2024-ar-00/,https://africanfinancials.com/company/ke-imh/,10,https://drive.google.com/uc?export=download&id=11SoODi_ZpDM_vf7RjjAO6NYJ-oDsdvlJ
BK Group Plc (BKG.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-bkg-2024-ar-00/,https://africanfinancials.com/company/ke-bkg/,10,https://drive.google.com/uc?export=download&id=1MhcLS8yWJRuHcR-cuLPZLlN-A_h9cbFg
Jubilee Holdings Limited (JUB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-jub-2024-ar-00/,https://africanfinancials.com/company/ke-jub/,10,https://drive.google.com/uc?export=download&id=1JreJRHfr6SqpMKAbC2ZBuhl9Pu7R_-ks
Car & General Limited (CGEN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cgen-2024-ar-00-2/,https://africanfinancials.com/company/ke-cgen/,11,https://drive.google.com/uc?export=download&id=1pFDaWqf5fzfa_uKnyDUNF90IfaarkLVe
Car & General Limited (CGEN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cgen-2024-ar-00/,https://africanfinancials.com/company/ke-cgen/,11,https://drive.google.com/uc?export=download&id=1e-RUw8w4z5DV4sB6Pfr-tGKS-5WSKz_s
East Africa Cables Plc(CABL.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cabl-2024-ar-00/,https://africanfinancials.com/company/ke-cabl/,11,https://drive.google.com/uc?export=download&id=1AP97JdoAoaanVUP16Iq1JWNvNlWTKX-j
Absa Bank Kenya Plc (ABSA.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-absa-2024-ar-00/,https://africanfinancials.com/company/ke-absa/,11,https://drive.google.com/uc?export=download&id=1l5XH0NS9NTC2pNAnsjim0yDqzcjWrrzb
ScanGroup Limited (SCAN.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-scan-2024-ar-00/,https://africanfinancials.com/company/ke-scan/,11,https://drive.google.com/uc?export=download&id=1pRU1Ycze-9dfY5nf48z7X0xVsxIKEIcj
CIC Insurance Group (CIC.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-cic-2024-ar-00/,https://africanfinancials.com/company/ke-cic/,11,https://drive.google.com/uc?export=download&id=17oyhA1zdWa8Jh_2-pfMPEYNV7TITFpuW
Sameer Africa Limited (SAMEER.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-sameer-2024-ar-00/,https://africanfinancials.com/company/ke-sameer/,12,https://drive.google.com/uc?export=download&id=1QivkW1OdaD-_Oa72Cjycz2hWBk1EbGQI
Liberty Kenya Holdings Limited (LBTY.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-lbty-2024-ar-00/,https://africanfinancials.com/company/ke-lbty/,12,https://drive.google.com/uc?export=download&id=1h3sbShL3vE-uUcCSpZh1B6u-FAv-7h5t
Liberty Kenya Holdings Limited (LBTY.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-lbty-2024-ar-00-2/,https://africanfinancials.com/company/ke-lbty/,13,https://drive.google.com/uc?export=download&id=1h3sbShL3vE-uUcCSpZh1B6u-FAv-7h5t
Kakuzi Limited (KUKZ.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kukz-2024-ar-00/,https://africanfinancials.com/company/ke-kukz/,13,https://drive.google.com/uc?export=download&id=1rGL2iiotPjlv7ML_Q0i5ODZbpK8it_8_
The Co-operative Bank of Kenya Limited (COOP.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-coop-2024-ar-00/,https://africanfinancials.com/company/ke-coop/,14,https://drive.google.com/uc?export=download&id=1drxxcZWJ4h_rwaU9AmB9PW1OD0ffasXQ
Nairobi Securities Exchange Limited (NSE.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-nse-2024-ar-00/,https://africanfinancials.com/company/ke-nse/,14,https://drive.google.com/uc?export=download&id=1fN2Npph_77qSgSMhnaH9-kM71Elcd_9T
KCB Group Plc (KCB.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-kcb-2024-ar-00/,https://africanfinancials.com/company/ke-kcb/,14,https://drive.google.com/uc?export=download&id=1E2OByZYCm7AeNKAJyvtrvJEcqC_1OKs2
Diamond Trust Bank of Kenya Limited (DTK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-dtk-2024-ar-00/,https://africanfinancials.com/company/ke-dtk/,15,https://drive.google.com/uc?export=download&id=1tldssgvoEV8tq1CTkKOJQZztZeLEyheS
NCBA Group PLC (NCBA.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-ncba-2024-ar-00/,https://africanfinancials.com/company/ke-ncba/,15,https://drive.google.com/uc?export=download&id=1ntATY4UQxVgu5vZPo4pQmuUAPfySw1JF
Standard Chartered Bank Limited (SCBK.ke) 2024 Annual Report,https://africanfinancials.com/document/ke-scbk-2024-ar-00/,https://africanfinancials.com/company/ke-scbk/,15,https://drive.google.com/uc?export=download&id=10Z6fxyRF1x2iKkRM1zgRa13CRyCR0tvf
