Sector,Company,Symbol,ISIN
AGRICULTURAL,Eaagads Ltd Ord 1.25 AIMS,EGAD,KE0000000208
AGRICULTURAL,Kapchorua Tea Co. Ltd Ord Ord 5.00 AIMS,KAPC,KE4000001760
AGRICULTURAL,Kakuzi Ord.5.00,KUKZ,KE0000000281
AGRICULTURAL,Limuru Tea Co. Ltd Ord 20.00,LIMT,KE0000000356
AGRICULTURAL,Sasini Ltd Ord 1.00,SASN,KE0000000430
AGRICULTURAL,Williamson Tea Kenya Ltd Ord 5.00,WTK,KE0000000505
AUTOMOBILES AND ACCESSORIES,Car and General (K) Ltd Ord 5.00,CGEN,KE0000000109
BANKING,Absa Bank Kenya PLC,ABSA,KE0000000067
BANKING,Stanbic Holdings Plc. ord.5.00,SBIC,KE0000000091
BANKING,I&M Holdings Ltd Ord 1.00,IMH,KE0000000125
BANKING,Diamond Trust Bank Kenya Ltd Ord 4.00,DTK,KE0000000158
BANKING,Standard Chartered Bank Ltd Ord 5.00,SCBK,KE0000000448
BANKING,Equity Group Holdings Ord 0.50,EQTY,KE0000000554
BANKING,The Co-operative Bank of Kenya Ltd Ord 1.00,COOP,KE1000001568
BANKING,BK Group PLC,BKG,KE5000008986
BANKING,HF Group Ltd Ord 5.00,HFCK,KE0000000240
BANKING,KCB Group Ltd Ord 1.00,KCB,KE0000000315
BANKING,NCBA Group PLC,NCBA,KE0000000406
COMMERCIAL AND SERVICES,Express Ltd Ord 5.00,XPRS,KE0000000224
COMMERCIAL AND SERVICES,Sameer Africa PLC Ord 5.00,SMER,KE0000000232
COMMERCIAL AND SERVICES,Kenya Airways Ltd Ord 5.00,KQ,KE0000000307
COMMERCIAL AND SERVICES,Nation Media Group Ord. 2.50,NMG,KE0000000380
COMMERCIAL AND SERVICES,Standard Group Ltd Ord 5.00,SGL,KE0000000455
COMMERCIAL AND SERVICES,TPS Eastern Africa (Serena) Ltd Ord 1.00,TPSE,KE0000000539
COMMERCIAL AND SERVICES,Scangroup Ltd Ord 1.00,SCAN,KE0000000562
COMMERCIAL AND SERVICES,Uchumi Supermarket Ltd Ord 5.00,UCHM,KE0000000489
COMMERCIAL AND SERVICES,Longhorn Publishers Ltd,LKL,KE2000002275
COMMERCIAL AND SERVICES,Deacons (East Africa) Plc Ord 2.50,DCON,KE5000005438
COMMERCIAL AND SERVICES,Nairobi Business Ventures Ltd,NBV,KE5000000090
CONSTRUCTION AND ALLIED,Athi River Mining Ord 5.00,ARM,KE0000000034
CONSTRUCTION AND ALLIED,Bamburi Cement PLC Ord 5.00,BAMB,KE0000000059
CONSTRUCTION AND ALLIED,Crown Paints Kenya PLC. 0rd 5.00,CRWN,KE0000000141
CONSTRUCTION AND ALLIED,E.A.Cables PLC Ord 0.50,CABL,KE0000000174
CONSTRUCTION AND ALLIED,E.A.Portland Cement Ltd Ord 5.00,PORT,KE0000000190
ENERGY AND PETROLEUM,Total Kenya Ltd Ord 5.00,TOTL,KE0000000463
ENERGY AND PETROLEUM,KenGen Ltd Ord. 2.50,KEGN,KE0000000547
ENERGY AND PETROLEUM,Kenya Power & Lighting Co Ltd,KPLC,KE0000000349
ENERGY AND PETROLEUM,Umeme Ltd Ord 0.50,UMME,KE2000005815
INSURANCE,Jubilee Holdings Ltd Ord 5.00,JUB,KE0000000273
INSURANCE,Sanlam Allianz Holdings (Kenya) PLC 0rd 5.00,SLAM,KE0000000414
INSURANCE,Kenya Re-Insurance Corporation Ltd Ord 2.50,KNRE,KE0000000604
INSURANCE,Liberty Kenya Holdings Ltd,LBTY,
INSURANCE,Britam Holdings Ltd Ord 0.10,BRIT,KE2000002192
INSURANCE,CIC Insurance Group Ltd Ord 1.00,CIC,KE2000002317
INVESTMENT,Olympia Capital Holdings ltd Ord 5.00,OCH,KE0000000166
INVESTMENT,Centum Investment Co Ltd Ord 0.50,CTUM,KE0000000265
INVESTMENT,Trans-Century Ltd,TCL,KE2000002184
INVESTMENT,Home Afrika Ltd Ord 1.00,HAFR,KE2000007258
INVESTMENT,Kurwitu Ventures,KURV,KE4000001216
INVESTMENT SERVICES,Nairobi Securities Exchange Ltd Ord 4.00,NSE,KE3000009674
MANUFACTURING AND ALLIED,B.O.C Kenya Ltd Ord 5.00,BOC,KE0000000042
MANUFACTURING AND ALLIED,British American Tobacco Kenya Ltd Ord 10.00,BAT,KE0000000075
MANUFACTURING AND ALLIED,Carbacid Investments Ltd Ord 5.00,CARB,KE0000000117
MANUFACTURING AND ALLIED,East African Breweries Ltd Ord 2.00,EABL,KE0000000216
MANUFACTURING AND ALLIED,Mumias Sugar Co. Ltd Ord 2.00,MSC,KE0000000372
MANUFACTURING AND ALLIED,Unga Group Ltd Ord 5.00,UNGA,KE0000000497
MANUFACTURING AND ALLIED,Eveready East Africa Ltd Ord.1.00,EVRD,KE0000000588
MANUFACTURING AND ALLIED,AFRICA MEGA AGRICORP PLC 5.00,AMAC,KE0000000331
MANUFACTURING AND ALLIED,Flame Tree Group Holdings Ltd Ord 0.825,FTGH,KE4000001323
MANUFACTURING AND ALLIED,Shri Krishana Overseas (SKL),SKL.O0000,KE9900001216
TELECOMMUNICATION AND TECHNOLOGY,Safaricom PLC Ord 0.05,SCOM,KE1000001402
REAL ESTATE INVESTMENT TRUST,Laptrust Imara I-REIT,LAPR,KE9100008870
EXCHANGE TRADED FUND,New Gold Issuer (RP) Ltd,GLD,ZAE000060067
EXCHANGE TRADED FUND,Satrix MSCI World Feeder ETF,SMWF.E0000,ZAE000246104
