Exchange,Sector,Symbol,ISIN,Company
Nairobi Securities Exchange PLC,AGRICULTURAL,EGAD,KE0000000208,Eaagads Ltd
Nairobi Securities Exchange PLC,AGRICULTURAL,KAPC,KE4000001760,Kapchorua Tea Co. Ltd Ord
Nairobi Securities Exchange PLC,AGRICULTURAL,KUKZ,KE0000000281,Kakuzi
Nairobi Securities Exchange PLC,AGRICULTURAL,LIMT,KE0000000356,Limuru Tea Co. Ltd
Nairobi Securities Exchange PLC,AGRICULTURAL,SASN,KE0000000430,Sasini Ltd
Nairobi Securities Exchange PLC,AGRICULTURAL,WTK,KE0000000505,Williamson Tea Kenya Ltd
Nairobi Securities Exchange PLC,AUTOMOBILES AND ACCESSORIES,CGEN,KE0000000109,Car and General (K) Ltd
Nairobi Securities Exchange PLC,BANKING,ABSA,KE0000000067,Absa Bank Kenya PLC
Nairobi Securities Exchange PLC,BANKING,SBIC,KE0000000091,Stanbic Holdings Plc
Nairobi Securities Exchange PLC,BANKING,IMH,KE0000000125,I&M Holdings Ltd
Nairobi Securities Exchange PLC,BANKING,DTK,KE0000000158,Diamond Trust Bank Kenya Ltd
Nairobi Securities Exchange PLC,BANKING,SCBK,KE0000000448,Standard Chartered Bank Ltd
Nairobi Securities Exchange PLC,BANKING,EQTY,KE0000000554,Equity Group Holdings
Nairobi Securities Exchange PLC,BANKING,COOP,KE1000001568,The Co-operative Bank of Kenya Ltd
Nairobi Securities Exchange PLC,BANKING,BKG,KE5000008986,BK Group PLC
Nairobi Securities Exchange PLC,BANKING,HFCK,KE0000000240,HF Group Ltd
Nairobi Securities Exchange PLC,BANKING,KCB,KE0000000315,KCB Group Ltd
Nairobi Securities Exchange PLC,BANKING,NCBA,KE0000000406,NCBA Group PLC
Nairobi Securities Exchange PLC,COMMERCIAL AND SERVICES,XPRS,KE0000000224,Express Ltd
Nairobi Securities Exchange PLC,COMMERCIAL AND SERVICES,SMER,KE0000000232,Sameer Africa PLC
Nairobi Securities Exchange PLC,COMMERCIAL AND SERVICES,KQ,KE0000000307,Kenya Airways Ltd
Nairobi Securities Exchange PLC,COMMERCIAL AND SERVICES,NMG,KE0000000380,Nation Media Group
Nairobi Securities Exchange PLC,COMMERCIAL AND SERVICES,SGL,KE0000000455,Standard Group Ltd
Nairobi Securities Exchange PLC,COMMERCIAL AND SERVICES,TPSE,KE0000000539,TPS Eastern Africa (Serena) Ltd
